Tip Paralelism, Test, Nr Threaduri,Timp executie
SECVENTIALA,10 10 3,1,0.0252
SECVENTIALA,1000 1000 3,1,98.01032
SECVENTIALA,10 10000 3,1,9.81285
SECVENTIALA,10000 10 3,1,14.83279
SECVENTIALA,10000 10000 3,1,13775.593
LINII,10 10 3,2,0.34916
LINII,1000 1000 3,2,48.93735
LINII,1000 1000 3,4,24.2027
LINII,1000 1000 3,8,15.70248
LINII,1000 1000 3,16,12.82618
LINII,10 10000 3,2,4.28759
LINII,10 10000 3,4,3.07774
LINII,10 10000 3,8,2.96672
LINII,10 10000 3,16,0
LINII,10000 10 3,2,5.59732
LINII,10000 10 3,4,4.12233
LINII,10000 10 3,8,3.72846
LINII,10000 10 3,16,4.2993
LINII,10000 10000 3,2,3868.272
LINII,10000 10000 3,4,2240.115
LINII,10000 10000 3,8,1438.669
LINII,10000 10000 3,16,884.7717
SECVENTIALA,10 10 3,1,0.03105
SECVENTIALA,1000 1000 3,1,102.66189
SECVENTIALA,10 10000 3,1,10.40957
SECVENTIALA,10000 10 3,1,14.30699
